Autor,Ano de Produção,Titulo,Universidade,Abreviação Do Nome da Universidade,Cidade,Região,Estado,Áreas do conhecimento,Escola,local,Níveis de escolaridade,Duração (meses),,Horas por aula semanal,Quan de aluno,Qual Kit usou
Naltilene Teixeira Costa Silva,2019,"O ENSINO DE TÓPICOS DE CINEMÁTICA ATRAVÉS DE ROBÓTICA
EDUCACIONA",Universidade Federal Rural de Pernambuco.,UFRPE,Recife,Nordeste,Pernambuco,Física,Publica,N/D,Ensino Médio,duas semanas,40,,20,LEGO Mindstorms 
Eros João Damasceno Bazan,2019,"ROBÓTICA EDUCACIONAL NO ENSINO DE FÍSICA PARA O ENSINO MÉDIO
VIA APRENDIZAGEM ATIVA.",Universidade Federal de Mato Grosso,UFMT,Cuiabá,Centro-Oeste,Mato Grosso,Física,Publica,N/D,Ensino Médio,N/D,N/D,N/D,15,Kit Arduino
Marcelo Melazzo Rodrigues,2020,"Modelagem Matemática da Voz, Trigonometria e Robótica: Atividades Interativas",Universidade Federal de Uberlândia,UFU,Uberlândia,Sudeste,Minas Gerais,STEM e Programação,N/D,N/D,Não Especificado,N/D,N/D,N/D,N/D,Não Especificado
Adriana Nascimento Figueira Gavazzi,2020,"Robótica pedagógica como ferramenta para aplicação da metodologia STEAM
(Science, Technology, Engineering, Arts and Mathematics) no Ensino Fundamental",Universidade de São Paulo,USP,Lorena,Sudeste,São Paulo,STEAM,N/D,N/D,Ensino Fundamental,semestre letivo,72,3,24,LEGO Mindstorms 
Quézia Andrade da Conceição,2020,"O uso da Robótica Pedagógica em três escolas municipais de
Belo Horizonte",Universidade Federal de Minas Gerais,UFMG,Belo Horizont,Sudeste,Minas Gerais,Robótica,Publica,Rede Municipal de Educação de Belo Horizonte,Ensino Fundamental,Ano letivo,N/D,N/D,N/D,Não Especificado
Alexandre Amaral Cardoso de Araújo,2020,"UMA SEQUÊNCIA DIDÁTICA PARA ABORGAGEM DE CONCEITOS DE
CINEMÁTICA ATRAVÉS DE DOIS CARRINHOS IMPRESSOS EM 3D E USO DO
ARDUÍNO",Universidade Federal do Rio Grande do Norte.,UFRN,Natal.,Nordeste,Rio Grande do Norte,Física,N/D,N/D,Ensino Médio,primeiro terço do ano letivo,N/D,N/D,N/D,Kit Arduino
Rodrigo Baldow de Souza,2020,"ROBÓTICA SUSTENTÁVEL NO ENSINO DOS CONCEITOS DE ELETRICIDADE E
HIDROSTÁTICA: A APRENDIZAGEM COLABORATIVA COMO
FUNDAMENTAÇÃO TEÓRICO-METODOLÓGICA",UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO.,UFRPE,Recife,Nordeste,Pernambuco,Física,Publica,N/D,Ensino Fundamental e Médio,N/D,N/D,N/D,N/D,Não Especificado
Sandra Muniz Bozolan,2021,"Pensamento Computacional, Educação Maker e Cultura digital,
aplicados aos alunos do Ensino Fundamental I",Pontifícia Universidade Católica de São Paulo,PUC-SP,São Paulo,Sudeste,São Paulo,STEM e Programação,Pública,EEFMT Maria Theodora Pedreira de Freitas.,Ensino Fundamental,ano letivo,N/D,N/D,N/D,Ambiente de Simulação
Eduardo Augusto Morais Rodrigues,2021,Hardware Educacional para o Ensino de Lógica de Programação.,Universidade Federal do Rio Grande do Norte.,UFRN,Natal.,Nordeste,Rio Grande do Norte,Lógica de Programação,N/D,N/D,Ensino Médio,N/D,N/D,N/D,N/D,Kit Arduino
Nidia Mara Melchiades Castelli Fernandes,2022,"INTEGRAÇÃO ENTRE A ROBÓTICA EDUCACIONAL E A
ABORDAGEM STEAM: IDENTIFICAÇÃO DA ÁREA DE
OPORTUNIDADE E DESENVOLVIMENTO DE PROTÓTIPOS",Universidade Federal de São Carlos,UFSCar,São Carlos,Sudeste,São Paulo,STEM e Programação,N/D,N/D,Ensino Fundamental e Médio,N/D,N/D,N/D,N/D,Kit Arduino
Anderson Silva Gusmão.,2022,"dentificação das habilidades de Pensamento Computacional diante dos
estados emocionais sob a abordagem de Multimodal Learning Analytics",Universidade Federal Rural de Pernambuco,UFRPE,Recife,Nordeste,Pernambuco,STEM e Programação,N/D,N/D,Não Especificado,10,N/D,N/D,N/D,"FRANZMakey,"
Hernani Batista da Cruz,2022,Aprendizagem Baseada em Projetos: A Contribuição da Robótica Educacional na Formação de Professores de Física,Universidade Estadual de Ponta Grossa,UEPG,Ponta Grossa,Sul,Paraná,Física,Publica ,Universidade,Superior,12,N/D,N/D,N/D,Kit Arduino
Gerllys Speroto Calvi,2023,Inserção da Programação em Blocos no Currículo dos Cursos Técnicos Integrados ao Ensino Médio,Universidade Federal da Bahia,UFBA,Salvador,Nordeste,Bahia,Matemática,Publica,IFES – Campus Nova Venécia,Ensino Médio,N/D,N/D,N/D,N/D,Ambiente de Simulação
João Pedro de Almeida Moraes.,2023,"Robótica educacional: atitudes,
habilidades do s´eculo XXI e motivação",Universidade Estadual de Feira de Santana.,UEFS,Feira de Santana,Nordeste,Bahia,Matemática,Publica,salvador,Ensino Médio,"1,5",40,6,N/D,Kit Arduino
Josiele Maria Fusiger,2023,Robótica Educacional como Estratégia Metodológica de Ensino de Matemática e Desenvolvimento do Pensamento Computacional,Universidade do Vale do Rio dos Sinos,UNISINOS,São Leopoldo,Sul,Rio Grande do Sul,Matemática,Publica,escola pública do Rio Grande do Sul,Não Especificado,N/D,N/D,N/D,N/D,Não Especificado
Karina Dias Amorim,2023,"CONECTAR
CONSULTORIA DE APRENDIZAGEM CRIATIVA",Universidade Federal do Rio Grande do Norte,UFRN,Natal.,Nordeste,Rio Grande do Norte,Lógica de Programação,Publica/Particular,"Campina Grande, PB.",Ensino Fundamental e Médio,N/D,N/D,N/D,20,Kit Arduino
Deyse dos Santos Marinho,2023,Robot Solution: Um Kit para o Estímulo de Competências do Pensamento Computacional,"Instituto Federal de Educação, Ciência e Tecnologia do Amazonas.",IFAM,Manaus,Norte,Amazonas,Fisica e Matematica,N/D,N/D,Ensino Fundamental e Médio,N/D,N/D,N/D,N/D,Não Especificado
Cleilton Carlos Lima Da Silva,2023,Uma Oferta de Aplicação de Eletrodinâmica com Robótica Educacional,Universidade Federal do Rio Grande do Norte,UFRN,Natal.,Nordeste,Rio Grande do Norte,Física,N/D,N/D,Não Especificado,semestre letivo,N/D,N/D,N/D,Kit Arduino
